ano,mes_num,mes,ventas,facturas,meta_base,meta_ideal
2025,1,Enero,104261105,76,0,0
2025,2,Febrero,85975547,46,0,0
2025,3,Marzo,134689831,47,0,0
2025,4,Abril,58754125,45,0,0
2025,5,Mayo,105337737,61,0,0
2025,6,Junio,92720706,64,0,0
2025,7,Julio,90519492,69,0,0
2025,8,Agosto,104123839,68,0,0
2025,9,Septiembre,203326004,80,0,0
2025,10,Octubre,113664002,92,0,0
2025,11,Noviembre,100141455,71,0,0
2025,12,Diciembre,145018758,87,0,0
2026,1,Enero,126336099,81,120942882,128241159
2026,2,Febrero,133292774,64,99731635,105749923
2026,3,Marzo,111638164,59,156240204,165668492
2026,4,Abril,166801411,83,68154785,72267574
2026,5,Mayo,28815884,27,122191775,129565417
2026,6,Junio,0,0,107556019,114046468
2026,7,Julio,0,0,105002611,111338975
2026,8,Agosto,0,0,120783653,128072322
2026,9,Septiembre,0,0,235858165,250090985
2026,10,Octubre,0,0,131850242,139806722
2026,11,Noviembre,0,0,116164088,123173990
2026,12,Diciembre,0,0,168221759,178373072
