concepto,ano,mes_num,valor
ELECTRICIDAD,2023,2,280000
ELECTRICIDAD,2023,3,960000
ELECTRICIDAD,2023,4,1012000
ELECTRICIDAD,2023,5,239832
ELECTRICIDAD,2023,6,650000
ELECTRICIDAD,2023,7,730000
ELECTRICIDAD,2023,8,360000
ELECTRICIDAD,2023,9,400000
ELECTRICIDAD,2023,10,450000
ELECTRICIDAD,2023,11,560000
ELECTRICIDAD,2024,1,250000
ELECTRICIDAD,2024,2,310000
ELECTRICIDAD,2024,3,690000
ELECTRICIDAD,2024,4,360000
ELECTRICIDAD,2024,5,210000
ELECTRICIDAD,2024,7,30000
ELECTRICIDAD,2024,8,220000
ELECTRICIDAD,2024,9,510000
ELECTRICIDAD,2024,10,340000
ELECTRICIDAD,2024,12,860000
ELECTRICIDAD,2025,1,1400000
ELECTRICIDAD,2025,2,700000
ELECTRICIDAD,2025,3,490000
ELECTRICIDAD,2025,4,1440000
ELECTRICIDAD,2025,5,1670000
ELECTRICIDAD,2025,6,900000
ELECTRICIDAD,2025,7,1085000
ELECTRICIDAD,2025,8,910000
ELECTRICIDAD,2025,9,1860000
ELECTRICIDAD,2025,10,365000
ELECTRICIDAD,2025,11,670000
ELECTRICIDAD,2025,12,2240000
ELECTRICIDAD,2026,1,420000
ELECTRICIDAD,2026,2,280000
ELECTRICIDAD,2026,3,450000
ELECTRICIDAD,2026,4,1890000
ELECTRICIDAD,2026,5,510000
LATONERIA,2023,1,650000
LATONERIA,2023,2,1510000
LATONERIA,2023,3,950000
LATONERIA,2023,4,1060000
LATONERIA,2023,5,1860000
LATONERIA,2023,6,4180000
LATONERIA,2023,7,420000
LATONERIA,2023,8,2270000
LATONERIA,2023,9,420000
LATONERIA,2023,10,760000
LATONERIA,2023,11,1560000
LATONERIA,2023,12,1010000
LATONERIA,2024,1,930000
LATONERIA,2024,3,70000
LATONERIA,2024,4,1000000
LATONERIA,2024,5,700000
LATONERIA,2024,6,1860000
LATONERIA,2024,7,4140000
LATONERIA,2024,8,1070000
LATONERIA,2024,9,1730000
LATONERIA,2024,10,4150000
LATONERIA,2024,11,5370000
LATONERIA,2024,12,4410000
LATONERIA,2025,1,3540000
LATONERIA,2025,2,1750000
LATONERIA,2025,3,1804000
LATONERIA,2025,4,1270000
LATONERIA,2025,5,2910000
LATONERIA,2025,6,4120000
LATONERIA,2025,7,5570000
LATONERIA,2025,8,2680000
LATONERIA,2025,9,1870000
LATONERIA,2025,10,5260000
LATONERIA,2025,11,5390000
LATONERIA,2025,12,11719000
LATONERIA,2026,1,5470000
LATONERIA,2026,2,9480000
LATONERIA,2026,3,2550000
LATONERIA,2026,4,5110000
LATONERIA,2026,5,1320000
MECANICA,2023,1,8040000
MECANICA,2023,2,7540000
MECANICA,2023,3,11450000
MECANICA,2023,4,6720000
MECANICA,2023,5,9570000
MECANICA,2023,6,7020000
MECANICA,2023,7,6747790
MECANICA,2023,8,3850000
MECANICA,2023,9,4820000
MECANICA,2023,10,8060000
MECANICA,2023,11,9460000
MECANICA,2023,12,8160000
MECANICA,2024,1,5420000
MECANICA,2024,2,9279000
MECANICA,2024,3,4410001
MECANICA,2024,4,6860000
MECANICA,2024,5,4240000
MECANICA,2024,6,6060000
MECANICA,2024,7,3920000
MECANICA,2024,8,6030000
MECANICA,2024,9,4996000
MECANICA,2024,10,8540000
MECANICA,2024,11,11060000
MECANICA,2024,12,7130000
MECANICA,2025,1,9890000
MECANICA,2025,2,10406000
MECANICA,2025,3,14560000
MECANICA,2025,4,6790000
MECANICA,2025,5,11460000
MECANICA,2025,6,10240000
MECANICA,2025,7,13006000
MECANICA,2025,8,13080000
MECANICA,2025,9,18260000
MECANICA,2025,10,11372000
MECANICA,2025,11,15143500
MECANICA,2025,12,18360000
MECANICA,2026,1,14500000
MECANICA,2026,2,12180000
MECANICA,2026,3,8820000
MECANICA,2026,4,14870000
MECANICA,2026,5,4564000
PINTURA,2023,1,1870000
PINTURA,2023,2,3130000
PINTURA,2023,3,4500000
PINTURA,2023,4,4840000
PINTURA,2023,5,2700000
PINTURA,2023,6,4400000
PINTURA,2023,7,850000
PINTURA,2023,8,2630000
PINTURA,2023,9,570000
PINTURA,2023,10,4650000
PINTURA,2023,11,2070000
PINTURA,2023,12,750000
PINTURA,2024,1,1050000
PINTURA,2024,4,600000
PINTURA,2024,5,600000
PINTURA,2024,6,4750000
PINTURA,2024,7,1700000
PINTURA,2024,8,3600000
PINTURA,2024,9,3522000
PINTURA,2024,10,5000000
PINTURA,2024,11,6148003
PINTURA,2024,12,6025000
PINTURA,2025,1,7630000
PINTURA,2025,2,1450000
PINTURA,2025,3,2870000
PINTURA,2025,4,2920000
PINTURA,2025,5,2800000
PINTURA,2025,6,7550000
PINTURA,2025,7,7690000
PINTURA,2025,8,4760000
PINTURA,2025,9,3300000
PINTURA,2025,10,11021000
PINTURA,2025,11,6600000
PINTURA,2025,12,22390000
PINTURA,2026,1,11365000
PINTURA,2026,2,11550000
PINTURA,2026,3,5655000
PINTURA,2026,4,7520000
PINTURA,2026,5,2570000
TAPICERIA,2023,2,100000
TAPICERIA,2023,8,180000
TAPICERIA,2023,9,120000
TAPICERIA,2024,1,50000
TAPICERIA,2024,6,50000
